time,weather,temperature,humidity,windDirection,windSpeed
2017-01-16 22:00,晴天,0,57,南风,3级
2017-01-16 23:00,多云,0,56,南风,3级
2017-01-17 00:00,多云,-1,56,南风,4级
2017-01-17 01:00,多云,-1,56,南风,4级
2017-01-17 02:00,多云,-1,56,南风,4级
2017-01-17 03:00,阴天,-1,57,南风,5级
2017-01-17 04:00,多云,-1,57,南风,5级
2017-01-17 05:00,阴天,0,57,南风,5级
2017-01-17 06:00,晴天,0,58,南风,5级
2017-01-17 07:00,阴天,0,59,南风,5级
2017-01-17 08:00,晴朗,0,60,南风,5级
2017-01-17 09:00,晴朗,2,54,南风,5级
2017-01-17 10:00,晴朗,4,47,西南风,6级
2017-01-17 11:00,晴朗,5,41,西南风,6级
2017-01-17 12:00,晴朗,6,40,西南风,6级
2017-01-17 13:00,晴朗,7,39,西南风,6级
2017-01-17 14:00,晴朗,7,38,西南风,6级
2017-01-17 15:00,晴朗,7,42,西南风,5级
2017-01-17 16:00,晴朗,8,46,西南风,5级
2017-01-17 17:00,晴朗,8,51,西南风,4级
2017-01-17 18:00,晴朗,6,55,西风,3级
2017-01-17 19:00,晴朗,5,59,西北风,2级
2017-01-17 20:00,晴朗,4,63,-,-
2017-01-17 21:00,多云,2,63,西南风,2级
2017-01-17 22:00,晴天,1,63,东南风,3级
2017-01-17 23:00,多云,-1,64,东北风,5级
2017-01-18 00:00,多云,-1,69,东北风,4级
2017-01-18 01:00,局部多云,-2,70,东北风,5级
2017-01-18 02:00,多云,-2,70,东风,5级
2017-01-18 03:00,多云,-2,70,东风,5级
2017-01-18 04:00,多云,-1,70,东北风,5级
2017-01-18 05:00,多云,-1,69,东北风,5级
2017-01-18 06:00,多云,-1,69,东北风,5级
2017-01-18 07:00,多云,-1,69,东风,5级
2017-01-18 08:00,多云,-1,69,东风,5级
2017-01-18 09:00,多云,1,62,东风,6级
2017-01-18 10:00,多云,3,55,东风,6级
2017-01-18 11:00,多云,4,49,东风,6级
2017-01-18 12:00,局部多云,5,45,东风,6级
