id,time,dayPower,capacity,lat,lng
293,2017-08-16,213,50,36.7302,117.631
293,2017-08-17,240,50,36.7302,117.631
293,2017-08-18,125,50,36.7302,117.631
293,2017-08-19,191,50,36.7302,117.631
293,2017-08-20,236,50,36.7302,117.631
293,2017-08-21,286,50,36.7302,117.631
293,2017-08-22,211,50,36.7302,117.631
293,2017-08-23,98,50,36.7302,117.631
293,2017-08-24,272,50,36.7302,117.631
293,2017-08-25,151,50,36.7302,117.631
293,2017-08-26,110,50,36.7302,117.631
293,2017-08-27,124,50,36.7302,117.631
293,2017-08-28,25,50,36.7302,117.631
293,2017-08-29,98,50,36.7302,117.631
293,2017-08-30,255,50,36.7302,117.631
293,2017-08-31,289,50,36.7302,117.631
293,2017-09-01,258,50,36.7302,117.631
293,2017-09-02,268,50,36.7302,117.631
293,2017-09-03,175,50,36.7302,117.631
293,2017-09-04,147,50,36.7302,117.631
293,2017-09-05,193,50,36.7302,117.631
293,2017-09-06,153,50,36.7302,117.631
293,2017-09-07,298,50,36.7302,117.631
293,2017-09-08,241,50,36.7302,117.631
293,2017-09-09,226,50,36.7302,117.631
293,2017-09-10,83,50,36.7302,117.631
293,2017-09-11,248,50,36.7302,117.631
293,2017-09-12,295,50,36.7302,117.631
293,2017-09-13,274,50,36.7302,117.631
293,2017-09-14,276,50,36.7302,117.631
293,2017-09-15,230,50,36.7302,117.631
293,2017-09-16,130,50,36.7302,117.631
293,2017-09-17,270,50,36.7302,117.631
293,2017-09-18,197,50,36.7302,117.631
293,2017-09-19,228,50,36.7302,117.631
293,2017-09-20,264,50,36.7302,117.631
293,2017-09-21,257,50,36.7302,117.631
293,2017-09-22,253,50,36.7302,117.631
293,2017-09-23,240,50,36.7302,117.631
293,2017-09-24,222,50,36.7302,117.631
293,2017-09-25,127,50,36.7302,117.631
293,2017-09-26,50,50,36.7302,117.631
293,2017-09-27,170,50,36.7302,117.631
293,2017-09-28,299,50,36.7302,117.631
293,2017-09-29,164,50,36.7302,117.631
293,2017-09-30,260,50,36.7302,117.631
293,2017-10-01,115,50,36.7302,117.631
293,2017-10-02,128,50,36.7302,117.631
293,2017-10-03,49,50,36.7302,117.631
293,2017-10-04,112,50,36.7302,117.631
293,2017-10-05,186,50,36.7302,117.631
293,2017-10-06,252,50,36.7302,117.631
293,2017-10-07,63,50,36.7302,117.631
293,2017-10-08,48,50,36.7302,117.631
293,2017-10-09,77,50,36.7302,117.631
293,2017-10-10,17,50,36.7302,117.631
293,2017-10-11,153,50,36.7302,117.631
293,2017-10-12,179,50,36.7302,117.631
293,2017-10-13,204,50,36.7302,117.631
293,2017-10-14,112,50,36.7302,117.631
293,2017-10-15,156,50,36.7302,117.631
293,2017-10-16,66,50,36.7302,117.631
293,2017-10-17,59,50,36.7302,117.631
293,2017-10-18,127,50,36.7302,117.631
293,2017-10-19,165,50,36.7302,117.631
293,2017-10-20,223,50,36.7302,117.631
293,2017-10-21,227,50,36.7302,117.631
293,2017-10-22,217,50,36.7302,117.631
293,2017-10-23,251,50,36.7302,117.631
293,2017-10-24,275,50,36.7302,117.631
293,2017-10-25,94,50,36.7302,117.631
293,2017-10-26,155,50,36.7302,117.631
293,2017-10-27,209,50,36.7302,117.631
293,2017-10-28,207,50,36.7302,117.631
293,2017-10-29,292,50,36.7302,117.631
293,2017-10-30,273,50,36.7302,117.631
293,2017-10-31,186,50,36.7302,117.631
293,2017-11-01,122,50,36.7302,117.631
293,2017-11-02,183,50,36.7302,117.631
293,2017-11-03,207,50,36.7302,117.631
293,2017-11-04,247,50,36.7302,117.631
293,2017-11-05,226,50,36.7302,117.631
293,2017-11-06,211,50,36.7302,117.631
293,2017-11-07,131,50,36.7302,117.631
293,2017-11-08,202,50,36.7302,117.631
293,2017-11-09,69,50,36.7302,117.631
293,2017-11-10,242,50,36.7302,117.631
293,2017-11-11,245,50,36.7302,117.631
293,2017-11-12,191,50,36.7302,117.631
293,2017-11-13,201,50,36.7302,117.631
293,2017-11-14,240,50,36.7302,117.631
293,2017-11-15,233,50,36.7302,117.631
293,2017-11-16,43,50,36.7302,117.631
293,2017-11-17,88,50,36.7302,117.631
293,2017-11-18,257,50,36.7302,117.631
293,2017-11-19,69,50,36.7302,117.631
293,2017-11-20,208,50,36.7302,117.631
293,2017-11-21,199,50,36.7302,117.631
293,2017-11-22,224,50,36.7302,117.631
293,2017-11-23,229,50,36.7302,117.631
293,2017-11-24,235,50,36.7302,117.631
293,2017-11-25,199,50,36.7302,117.631
293,2017-11-26,229,50,36.7302,117.631
293,2017-11-27,143,50,36.7302,117.631
293,2017-11-28,132,50,36.7302,117.631
293,2017-11-29,82,50,36.7302,117.631
293,2017-11-30,135,50,36.7302,117.631
293,2017-12-01,217,50,36.7302,117.631
293,2017-12-02,167,50,36.7302,117.631
293,2017-12-03,43,50,36.7302,117.631
293,2017-12-04,196,50,36.7302,117.631
293,2017-12-05,212,50,36.7302,117.631
293,2017-12-06,188,50,36.7302,117.631
293,2017-12-07,178,50,36.7302,117.631
293,2017-12-08,223,50,36.7302,117.631
293,2017-12-09,148,50,36.7302,117.631
293,2017-12-10,186,50,36.7302,117.631
293,2017-12-11,205,50,36.7302,117.631
293,2017-12-12,177,50,36.7302,117.631
293,2017-12-13,116,50,36.7302,117.631
293,2017-12-14,33,50,36.7302,117.631
293,2017-12-15,26,50,36.7302,117.631
293,2017-12-16,193,50,36.7302,117.631
293,2017-12-17,222,50,36.7302,117.631
293,2017-12-18,195,50,36.7302,117.631
293,2017-12-19,209,50,36.7302,117.631
293,2017-12-20,183,50,36.7302,117.631
293,2017-12-21,197,50,36.7302,117.631
293,2017-12-22,143,50,36.7302,117.631
293,2017-12-23,90,50,36.7302,117.631
293,2017-12-24,159,50,36.7302,117.631
293,2017-12-25,195,50,36.7302,117.631
293,2017-12-26,159,50,36.7302,117.631
293,2017-12-27,155,50,36.7302,117.631
293,2017-12-28,139,50,36.7302,117.631
293,2017-12-29,53,50,36.7302,117.631
293,2017-12-30,95,50,36.7302,117.631
293,2017-12-31,235,50,36.7302,117.631
293,2018-01-01,133,50,36.7302,117.631
293,2018-01-02,45,50,36.7302,117.631
293,2018-01-03,151,50,36.7302,117.631
