stationCode,changZhanId,title,longitude,latitude
JY-TP-013,455,殷桥,116.895,37.0043
JY-TP-014,456,张刘,116.971,37.0245
JY-TP-020,457,北郭2,117.048,36.9542
JY-TP-021,458,秦一2,117.048,36.9925
JY-TP-015,459,西三教,116.938,36.9782
JY-TP-016,460,东冯井,116.935,37.0016
JY-TP-022,461,艾家栏2,116.961,36.9797
JY-TP-017,462,药王庄,116.951,36.9897
JY-TP-023,463,东梁2,116.938,37.0299
JY-QD-012,464,北邢村,117.343,37.1697
JY-QD-013,465,田家村,117.187,36.9522
JY-QD-019,466,老鸦张村2,117.35,37.136
JY-QD-020,468,西郭2,117.35,37.17
JY-QD-015,469,白家,117.219,37.1209
JY-QD-016,470,周家,117.259,37.1638
JY-QD-018,472,逯家,117.336,37.1536
JY-HH-010,473,干鱼陈,117.144,36.8945
JY-HH-011,474,南张,117.154,36.8952
JY-HH-012,475,回河镇前刘,117.11,37.0303
JY-HH-013,476,回河镇曹家,117.276,37.1676
JY-HH-014,477,回河镇闫家,117.15,36.9034
JY-HH-015,478,小营,117.137,37.0098
JY-HH-016,479,二十里,117.17,36.8991
JY-HH-017,480,淮里庄,117.088,37.0073
JY-HH-018,481,回河田家,117.145,36.9102
JY-HH-019,482,大安,117.098,36.9289
JY-HH-020,483,张高,117.098,36.9289
JY-HH-021,484,新刘,117.171,36.9294
JY-HH-025,485,桑皮赵2,117.14,36.9041
JY-HH-022,486,回河后刘,117.096,36.9486
JY-HH-023,487,金营,117.121,37.0094
JY-HH-024,489,张沟,117.147,36.9037
JY-DS-010,492,垛石镇南台1,117.116,37.1076
JY-DS-011,493,江屯,117.149,37.0496
JY-DS-018,494,建华2,117.072,37.017
JY-DS-012,496,五里庙,117.1,37.0411
JY-DS-013,497,垛石镇布家,117.153,37.0294
JY-DS-014,499,歇凉寺,117.065,37.1132
JY-DS-015,500,西太平,117.074,37.102
JY-DS-016,501,后王,117.132,37.0297
JY-DS-017,502,郭家屯,117.048,37.0476
JY-JB-002,503,前牛,117.152,36.9498
JY-JB-003,504,囤家,117.188,36.96
JY-RF-009,505,韩纸,117.359,37.0894
JY-RF-010,506,高家,117.409,37.1846
JY-RF-011,507,张染,117.41,37.1274
JY-RF-012,508,南陈,117.364,37.1447
JY-RF-013,509,前岳,117.381,37.1452
JY-RF-014,510,刘家,117.415,37.1334
JY-JYJD-005,511,济阳街道马家,117.234,37.0779
JY-JYJD-006,512,济阳街道孟家,117.238,37.057
JY-JYJD-007,513,济阳街道董家,117.083,37.0209
JY-XS-007,514,大昌,116.98,37.0462
JY-XS-008,515,王大挂,117.024,37.0567
JY-XS-009,516,新市牛王,117.057,37.0664
JY-XS-010,517,新市镇布家,116.966,37.0823
JY-SG-004,518,戴官屯,116.995,36.9517
JY-QD-29,519,尹家（龙王庙）,117.307,37.0886
JY-JYJD-008,520,小高家,117.223,37.0732
JY-DS-017,521,垛石镇南台2,117.223,37.0732
PY-YSJD-030,522,毕庄2,116.451,36.2351
JY-RF-015,535,张染村2,117.41,37.1274
